student_id,student_name,email_id,password,std,math_grade,english_grade,science_grade,history_grade,overall_grade,assignment_completion,engagement_score,math_lec_present,science_lec_present,history_lec_present,english_lec_present,attendance_ratio,login_frequency_per_week,average_session_duration_minutes,learning_style,content_type_preference,completed_lessons,practice_tests_taken,lms_test_scores,teacher_comments_summary,risk_score,is_at_risk,suggestions_required
S1000,Danielle Johnson,danielle.johnson419@gmail.com,p1000,12,78,98,88,91,88.75,0.57,0.31,12,16,20,2,0.62,2,25,Visual,Mixed,2,3,35,Falling behind in multiple areas,75.35,1,Yes
S1001,Joshua Walker,joshua.walker4022@outlook.com,p1001,10,91,45,60,60,64,0.7,0.31,15,5,16,7,0.54,4,7,Kinesthetic,Interactive,19,1,59,Falling behind in multiple areas,72.59,1,Yes
S1002,Jill Rhodes,jill.rhodes2296@yahoo.com,p1002,11,68,80,48,68,66,0.6,0.62,8,13,5,17,0.54,1,52,Kinesthetic,Interactive,4,5,40,Lacks focus,41.64,0,No
S1003,Patricia Miller,patricia.miller8945@gmail.com,p1003,9,54,78,45,45,55.5,0.66,0.64,17,15,7,11,0.62,5,14,Kinesthetic,Interactive,19,5,77,Average progress,45.58,0,No
S1004,Robert Johnson,robert.johnson9684@gmail.com,p1004,12,82,43,90,76,72.75,0.91,0.32,5,17,16,15,0.66,1,85,Kinesthetic,Videos,14,0,75,Needs improvement in basics,65.54,1,Yes
S1005,Jeffery Wagner,jeffery.wagner530@edu.in,p1005,11,47,52,84,40,55.75,0.81,0.78,14,20,15,3,0.65,4,46,Visual,Videos,9,7,56,Good participation,28.72,0,No
S1006,Anthony Gonzalez,anthony.gonzalez1545@gmail.com,p1006,11,60,88,74,90,78,0.93,0.51,2,5,5,13,0.31,5,70,Auditory,Interactive,18,2,48,Lacks focus,32.76,0,No
S1007,Debra Gardner,debra.gardner3821@yahoo.com,p1007,11,78,99,78,40,73.75,0.52,0.69,16,19,1,18,0.68,2,50,Visual,Texts,0,0,88,Good participation,39.3,0,No
S1008,Jeffrey Lawrence,jeffrey.lawrence9205@gmail.com,p1008,12,97,41,61,66,66.25,0.92,0.51,17,7,20,20,0.8,3,13,Kinesthetic,Mixed,6,9,97,Can do better with more effort,23.28,0,No
S1009,Lisa Smith,lisa.smith8938@yahoo.com,p1009,11,58,99,80,60,74.25,0.44,0.42,3,3,9,20,0.44,2,53,Kinesthetic,Interactive,17,0,83,Needs improvement in basics,73.06,1,Yes
S1010,Linda Wolfe,linda.wolfe3621@edu.in,p1010,10,62,44,93,92,72.75,0.93,0.59,1,13,5,3,0.28,3,8,Visual,Videos,1,0,46,Falling behind in multiple areas,73.6,1,Yes
S1011,Matthew Moore,matthew.moore9664@edu.in,p1011,10,50,83,44,55,58,0.6,0.46,18,14,6,2,0.5,2,64,Reading/Writing,Videos,18,4,79,Needs improvement in basics,68.7,1,Yes
S1012,Susan Rogers,susan.rogers116@outlook.com,p1012,9,50,66,81,83,70,0.59,0.67,18,16,3,5,0.52,4,33,Reading/Writing,Mixed,9,4,69,Good participation,35.17,0,No
S1013,Christopher Davis,christopher.davis6934@yahoo.com,p1013,12,63,71,62,98,73.5,0.71,0.44,4,13,6,20,0.54,1,51,Reading/Writing,Mixed,14,0,40,Needs improvement in basics,71.69,1,Yes
S1014,Melanie Munoz,melanie.munoz4562@outlook.com,p1014,12,92,60,56,93,75.25,0.96,0.66,15,2,8,5,0.38,3,81,Kinesthetic,Texts,9,4,43,Needs improvement in basics,61.3,1,Yes
S1015,Lindsay Blair,lindsay.blair3537@yahoo.com,p1015,12,75,47,51,79,63,0.43,0.41,19,14,6,13,0.65,4,67,Visual,Videos,9,6,42,Falling behind in multiple areas,75.8,1,Yes
S1016,Amanda Dudley,amanda.dudley1684@outlook.com,p1016,12,79,77,62,65,70.75,0.61,0.77,19,20,16,8,0.79,1,35,Visual,Texts,11,4,57,Can do better with more effort,28.31,0,No
